date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2024-12-01,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-02,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-03,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-04,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-05,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-06,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-07,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-08,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-09,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-10,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-11,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-12,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-13,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-14,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-15,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-16,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-17,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-18,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-19,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-20,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-21,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-22,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-23,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-24,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-25,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-26,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-27,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-28,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-29,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-30,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2024-12-31,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-01,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-02,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-03,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-04,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-05,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-06,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-07,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-08,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-09,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-10,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-11,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-12,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-13,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-14,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-15,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-16,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-17,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-18,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-19,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-20,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-21,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-22,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-23,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-24,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-25,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
2025-01-26,event_adjusted,207400000,207400000,207400000,207400000,207400000,0
